dataset,num_components,train_size,test_size,vector_size,g_mean,kappa
TAGS-D1.arff,10,50,50,5,0.70754959281021,0.439273474778924
TAGS-D1.arff,10,50,50,6,0.715585145369601,0.443974009373979
TAGS-D1.arff,10,50,100,2,0.702478897251876,0.431517065574283
TAGS-D1.arff,10,50,100,3,0.702285733224017,0.430392036522036
TAGS-D1.arff,10,50,100,4,0.701305230919232,0.429053907054966
TAGS-D1.arff,10,50,100,5,0.702353000194462,0.431641548072401
TAGS-D1.arff,10,50,100,6,0.701015093744082,0.428696150932482
TAGS-D1.arff,10,50,200,2,0.691321162001858,0.417339097898595
TAGS-D1.arff,10,50,200,3,0.689003677428454,0.416394097076681
TAGS-D1.arff,10,50,200,4,0.688175432682058,0.415247645542738
TAGS-D1.arff,10,50,200,5,0.688501299447586,0.414421880921544
TAGS-D1.arff,10,50,200,6,0.690996401762944,0.417643598912797
TAGS-D1.arff,10,100,50,2,0.705808802222068,0.408471040426861
TAGS-D1.arff,10,100,50,3,0.708953840144376,0.408875872800587
TAGS-D1.arff,10,100,50,4,0.709374991990128,0.413972648401858
TAGS-D1.arff,10,100,50,5,0.710288651531247,0.412729922654401
TAGS-D1.arff,10,100,50,6,0.712964607617663,0.41574861484904
TAGS-D1.arff,10,100,100,2,0.703609088977418,0.405902246259932
TAGS-D1.arff,10,100,100,3,0.70368258009699,0.404643151280693
TAGS-D1.arff,10,100,100,4,0.699256901032327,0.399961417801626
TAGS-D1.arff,10,100,100,5,0.70256103299571,0.405397259480772
TAGS-D1.arff,10,100,100,6,0.701251397297665,0.402815608725168
TAGS-D1.arff,10,100,200,2,0.693690609688825,0.395071282607327
TAGS-D1.arff,10,100,200,3,0.690696238261181,0.390415571997881
TAGS-D1.arff,10,100,200,4,0.693997384747862,0.396116745007875
TAGS-D1.arff,10,100,200,5,0.690170510984603,0.389411964836383
TAGS-D1.arff,10,100,200,6,0.693328916546489,0.394326268731584
ACTIVITY-D1.arff,5,20,50,2,0.863655360980954,0.746820658338296
DJ30-D1.arff,5,20,50,2,0.992669633209324,0.986363516259161
GAS-D1.arff,5,20,50,2,0.810408307042157,0.842745220410594
TAGS-D1.arff,5,20,50,2,0.707854816565533,0.45554187527176
ACTIVITY-D1.arff,5,20,50,3,0.84628866294376,0.742000334161496
DJ30-D1.arff,5,20,50,3,0.991481080509506,0.984142354051196
GAS-D1.arff,5,20,50,3,0.785042161185024,0.7477797341171
TAGS-D1.arff,5,20,50,3,0.711700232446954,0.461450080423252
ACTIVITY-D1.arff,5,20,50,4,0.865062662455774,0.754439571040372
DJ30-D1.arff,5,20,50,4,0.991433501715209,0.983724578241896
GAS-D1.arff,5,20,50,4,0.8063354053834,0.845327588258567
TAGS-D1.arff,5,20,50,4,0.707899815770549,0.459550410734111
ACTIVITY-D1.arff,5,20,50,5,0.875475166911955,0.75822188562046
DJ30-D1.arff,5,20,50,5,0.992621573263058,0.985842653586021
